date,price
1/1/2017,187
1/4/2017,184
1/5/2017,184
1/6/2017,181
1/7/2017,178
1/8/2017,178
1/9/2017,181
1/10/2017,185
1/11/2017,182
1/12/2017,181
1/13/2017,179
1/14/2017,179
1/15/2017,179
1/16/2017,NaN
1/17/2017,NaN
1/18/2017,185
1/19/2017,180
1/20/2017,183
1/21/2017,NaN
1/22/2017,186
1/23/2017,NaN
1/24/2017,187
1/25/2017,187
1/26/2017,188
1/27/2017,191
1/28/2017,192
1/29/2017,192
1/30/2017,196
1/31/2017,199
2/1/2017,200
2/2/2017,201
2/3/2017,201
2/4/2017,208
2/5/2017,209
2/6/2017,212
2/7/2017,208
2/8/2017,208
2/9/2017,210
2/10/2017,221
2/11/2017,232
2/12/2017,241
2/13/2017,240
2/14/2017,254
2/15/2017,252
2/16/2017,261
2/17/2017,276
2/18/2017,268
2/19/2017,262
2/20/2017,258
2/21/2017,252
2/22/2017,254
2/23/2017,264
2/24/2017,264
2/25/2017,260
2/26/2017,260
2/27/2017,262
2/28/2017,255
3/1/2017,250
3/2/2017,248
3/3/2017,250
3/4/2017,248
3/5/2017,248
3/6/2017,250
3/7/2017,250
3/8/2017,254
3/9/2017,251
3/10/2017,253
3/11/2017,251
3/12/2017,270
3/13/2017,270
3/14/2017,276
3/15/2017,286
3/16/2017,311
3/17/2017,305
3/18/2017,305
3/19/2017,319
3/20/2017,331
3/21/2017,329
3/22/2017,331
3/23/2017,322
3/24/2017,324
3/25/2017,317
3/26/2017,320
3/27/2017,317
3/28/2017,315
3/29/2017,325
3/30/2017,332
3/31/2017,331
4/1/2017,324
4/2/2017,323
4/3/2017,335
4/4/2017,324
4/5/2017,324
4/6/2017,317
4/7/2017,309
4/8/2017,310
4/9/2017,324
4/10/2017,319
4/11/2017,323
4/12/2017,323
4/13/2017,337
4/14/2017,349
4/15/2017,379
4/16/2017,370
4/17/2017,362
4/18/2017,363
4/19/2017,357
4/20/2017,367
4/21/2017,368
4/22/2017,380
4/23/2017,399
4/24/2017,408
4/25/2017,417
4/26/2017,433
4/27/2017,437
4/28/2017,437
4/29/2017,421
4/30/2017,411
5/1/2017,402
5/2/2017,401
5/3/2017,427
5/4/2017,429
5/5/2017,412
5/6/2017,417
5/7/2017,427
5/8/2017,437
5/9/2017,423
5/10/2017,441
5/11/2017,439
5/12/2017,430
5/13/2017,422
5/14/2017,416
5/15/2017,415
5/16/2017,418
5/17/2017,420
5/18/2017,417
5/19/2017,410
5/20/2017,409
5/21/2017,413
5/22/2017,412
5/23/2017,405
5/24/2017,395
5/25/2017,404
5/26/2017,407
5/27/2017,406
5/28/2017,389
5/29/2017,378
5/30/2017,384
5/31/2017,388
6/1/2017,383
6/2/2017,367
6/3/2017,361
6/4/2017,366
6/5/2017,352
6/6/2017,338
6/7/2017,349
6/8/2017,363
6/9/2017,361
6/10/2017,365
6/11/2017,363
6/12/2017,359
6/13/2017,361
6/14/2017,357
6/15/2017,349
6/16/2017,350
6/17/2017,341
6/18/2017,329
6/19/2017,327
6/20/2017,318
6/21/2017,320
6/22/2017,324
6/23/2017,335
6/24/2017,331
6/25/2017,334
6/26/2017,338
6/27/2017,345
6/28/2017,340
6/29/2017,336
6/30/2017,327
7/1/2017,329
7/2/2017,327
7/3/2017,332
7/4/2017,339
7/5/2017,347
7/6/2017,345
7/7/2017,342
7/8/2017,352
7/9/2017,355
7/10/2017,358
7/11/2017,359
7/12/2017,351
7/13/2017,346
7/14/2017,350
7/15/2017,347
7/16/2017,344
7/17/2017,334
7/18/2017,333
7/19/2017,333
7/20/2017,341
7/21/2017,338
7/22/2017,333
7/23/2017,338
7/24/2017,338
7/25/2017,345
7/26/2017,343
7/27/2017,343
7/28/2017,345
7/29/2017,338
7/30/2017,368
7/31/2017,385
8/1/2017,389
8/2/2017,368
8/3/2017,385
8/4/2017,389
8/5/2017,397
8/6/2017,395
8/7/2017,395
8/8/2017,386
8/9/2017,383
8/10/2017,385
8/11/2017,380
8/12/2017,383
8/13/2017,381
8/14/2017,381
8/15/2017,397
8/16/2017,404
8/17/2017,412
8/18/2017,415
8/19/2017,416
8/20/2017,417
8/21/2017,425
8/22/2017,427
8/23/2017,425
8/24/2017,428
8/25/2017,441
8/26/2017,441
8/27/2017,442
8/28/2017,448
8/29/2017,439
8/30/2017,452
8/31/2017,464
9/1/2017,474
9/2/2017,473
9/3/2017,483
9/4/2017,483
9/5/2017,479
9/6/2017,486
9/7/2017,482
9/8/2017,479
9/9/2017,484
9/10/2017,485
9/11/2017,494
9/12/2017,502
9/13/2017,518
9/14/2017,524
9/15/2017,538
9/16/2017,532
9/17/2017,522
9/18/2017,501
9/19/2017,517
9/20/2017,504
9/21/2017,491
9/22/2017,510
9/23/2017,516
9/24/2017,515
9/25/2017,503
9/26/2017,504
9/27/2017,507
9/28/2017,513
9/29/2017,519
9/30/2017,516
10/1/2017,519
10/2/2017,538
10/3/2017,544
10/4/2017,530
10/5/2017,531
10/6/2017,535
10/7/2017,532
10/8/2017,532
10/9/2017,537
10/10/2017,533
10/11/2017,531
10/12/2017,526
10/13/2017,525
10/14/2017,527
10/15/2017,531
10/16/2017,529
10/17/2017,525
10/18/2017,532
10/19/2017,538
10/20/2017,549
10/21/2017,583
10/22/2017,577
10/23/2017,563
10/24/2017,556
10/25/2017,544
10/26/2017,534
10/27/2017,537
10/28/2017,542
10/29/2017,541
10/30/2017,543
10/31/2017,538
11/1/2017,538
11/2/2017,536
11/3/2017,519
11/4/2017,519
11/5/2017,519
